molecule_chembl_id,Smiles,pIC50,bioactivity_class
CHEMBL53139,CCCCNC(=O)[C@@H](CC(O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)C(Cc1ccccc1)CS(=O)(=O)C(C)(C)C)C(C)C,8.0,1
CHEMBL4128438,COCCCCn1c(C(=O)N(CC(C)C)[C@H]2CCCNC2)nc2ccccc21,9.046,1
CHEMBL3321921,COc1ccc(CCC(=O)NC(=N)NCc2ccccc2)cc1OC,4.699,0
CHEMBL1269021,CN(c1ccccc1)c1c(C(=O)N2CCNCC2)c2ccccc2n1-c1ccccc1,5.5,0
CHEMBL1270071,O=C(c1c(Oc2cccc(C(F)(F)F)c2)n(-c2ccccc2)c2ccccc12)N1CCNCC1,5.046,0
CHEMBL496826,CCc1cccc([C@](O)(CCCCOC)[C@@H]2CCCN(C(=O)N[C@H](CNC)CC3CCCCC3)C2)c1,8.046,1
CHEMBL451603,COc1cccc(CN(C(=O)C2=C(c3ccc(CN(C)Cc4c(F)ccc(F)c4Cl)cc3)CC3CNCC2N3)C2CC2)c1C,7.387,1
CHEMBL508158,COc1ccccc1COCCCOc1ccc(C2=C(C(=O)N(C)Cc3ccccc3Cl)[C@H]3CN(C(=O)Cc4ccc(Cl)cc4)C[C@@H](C2)N3)cc1,6.886,1
CHEMBL3400435,COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NCc2ccc3ccccc3c2)C(C)C)ccc1OC,7.125,1
CHEMBL1270974,O=C(c1c(Oc2ccccc2)n(-c2ccc(F)cc2)c2ccccc12)N1CCNCC1,6.151,1
CHEMBL1269857,Cc1ccc(F)cc1Oc1c(C(=O)N2CCNCC2)c2cc(O)ccc2n1-c1ccccc1,8.699,1
CHEMBL1270470,Cc1c(F)cccc1Cc1c(C(=O)N2CCNCC2)c2ccc(S(C)(=O)=O)cc2n1-c1ccccc1,7.357,1
CHEMBL411885,COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COc2ccc3c(c2)N(CCNC(C)=O)CCC3)cc1,9.538,1
CHEMBL3143481,CC[C@H](C)[C@H](NC(=O)[C@@H](C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)N(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)CC[C@H](N)C(=O)O)C(C)C)C(=O)NCc1cccc[n+]1[O-],9.495,1
